Airline,Code,Revenue
Delta Air Lines,DL,47126335
American Airlines,AA,45761125
United Airlines,UA,43258541
Southwest Airlines,WN,22427753
Alaska Airlines,AS,8774664
JetBlue Airways,B6,8094008
Spirit Air Lines,NK,3830536
SkyWest Airlines,OO,2910753
Hawaiian Airlines,HA,2830131
Frontier Airlines,F9,2508349
Allegiant Air,G4,1745985
Envoy Air,MQ,1385341
Republic Airways,YX,1349429
PSA Airlines,OH,813871
Mesa Airlines,YV,729236
Sun Country Airlines,SY,701383
Endeavor Air,9E,653164
Horizon Air,QX,450969
ExpressJet Airlines,EV,369401
GoJet Airlines,G7,265164
Compass Airlines,CP,228479
